"machineID","ch4_retention_time","ch4_peak_area","ch4_peak_height","sample_type","ppm_value"
1540,2.456,633.0278,117.606,"100 ppm std",98.43
1541,2.46,612.4242,114.402,"100 ppm std",98.43
1542,2.463,602.0416,113.11,"100 ppm std",98.43
1543,2.466,599.6672,112.539,"100 ppm std",98.43
1544,2.466,6272.4629,1169.405,"1000 ppm std",994.5
1545,2.47,6312.6822,1178.605,"1000 ppm std",994.5
1546,2.466,6356.9452,1182.683,"1000 ppm std",994.5
1547,2.46,25550.8986,4713.562,"4000 ppm std",4005
1548,2.463,25691.1402,4730.952,"4000 ppm std",4005
1549,2.463,25738.967,4742.829,"4000 ppm std",4005
